Time,Favorites,Retweets,Compound,Negative,Positive,Neutral,Open,High,Low,Close,Volume,Funding Rate 0000,Funding Rate 0800,Funding Rate 1600,Bitcoin_SVI,Cryptocurrency_SVI,No. of Active Addresses,No. of Unique Addresses,Transactions
20220219.0,352.0,53.0,-0.5423,0.238,0.139,0.623,39976.6,40454.0,39632.0,40086.7,150092458.9,0.0,0.01,0.0,11.4,20.63,839236.0,573700.0,220673.0
20220218.0,368.0,102.0,-0.5574,0.194,0.0,0.806,40507.2,40959.6,39450.0,39976.5,330966909.4,0.01,0.0,0.0,12.9,21.78,940726.0,672505.0,261055.0
20220217.0,6295.0,907.25,0.23550000000000001,0.0,0.08612500000000001,0.913875,43866.6,44169.3,40058.8,40507.2,454761079.5,0.01,0.01,0.01,12.6,22.92,931220.0,665429.0,255573.0
20220216.0,1543.0,219.0,0.16923333333333335,0.12633333333333333,0.11566666666666665,0.758,44563.6,44565.3,43320.0,43868.5,283744445.6,0.01,0.01,0.01,12.0,22.92,925324.0,677777.0,266788.0
20220215.0,1428.4158529411766,194.4133436041083,0.16554622338935573,0.04985996171802055,0.10460556115779646,0.8455173464052288,42535.0,44800.8,42425.3,44563.5,336712539.1,0.01,0.01,-0.01,12.9,24.07,1013694.0,680501.0,273623.0
20220214.0,2636.8,408.8,0.43499999999999994,0.014000000000000002,0.1292,0.857,42056.3,42861.8,41525.7,42534.3,382673634.4,0.01,0.01,0.0,12.6,22.92,899786.0,630477.0,247592.0
20220213.0,6667.0,505.0,0.6369,0.06,0.175,0.765,42222.4,42767.7,41869.1,42056.4,188255780.4,0.01,0.01,0.01,10.8,22.92,829229.0,590527.0,208977.0
20220212.0,197.0,45.0,0.4215,0.0,0.259,0.741,42370.1,43033.0,41725.3,42222.4,240179110.5,-0.01,0.01,0.01,11.43,24.78,1060262.0,604018.0,228189.0
20220211.0,605.5,28.25,0.28075,0.0305,0.1715,0.798,43495.4,43964.9,41952.0,42370.1,445568913.5,0.01,0.0,-0.01,12.89,26.64,987669.0,664971.0,258595.0
20220210.0,189.66666666666666,35.333333333333336,0.3646666666666667,0.041,0.12633333333333333,0.8326666666666668,44374.8,45831.9,43165.3,43495.4,527011527.8,0.01,0.01,0.0,14.07,29.12,1029721.0,673697.0,260813.0
20220209.0,2057.4,340.4,0.13144,0.0,0.0586,0.9414,44045.7,44801.8,43122.0,44374.8,365238493.8,0.01,0.01,0.01,14.65,28.5,998247.0,663348.0,265804.0
20220208.0,1690.6666666666667,135.66666666666666,0.1863,0.0,0.10033333333333333,0.8996666666666666,43843.4,45500.0,42668.3,44042.7,561717500.4,-0.01,0.01,0.01,14.94,29.74,1014770.0,685310.0,276850.0
20220207.0,126.5,31.5,0.35865,0.0265,0.1145,0.8585,42394.8,44500.0,41649.9,43845.7,525826343.9,0.01,0.0,0.01,15.82,30.98,927917.0,660755.0,262034.0
