Time,Close
20220303,42456.3
20220302,43896.9
20220301,44428.2
20220228,43179.8
20220227,37706.7
20220226,39119.1
20220225,39219.6
20220224,38320.9
20220223,37248.1
20220222,38229.6
20220221,37025.7
20220220,38380.0
20220219,40086.7
20220218,39976.5
20220217,40507.2
20220216,43868.5
20220215,44563.5
20220214,42534.3
20220213,42056.4
20220212,42222.4
20220211,42370.1
20220210,43495.4
20220209,44374.8
20220208,44042.7
20220207,43845.7
20220206,42394.8
20220205,41386.8
20220204,41579.7
20220203,37320.9
20220202,36883.9
20220201,38693.4
20220131,38467.3
20220130,37884.9
20220129,38179.6
20220128,37715.6
20220127,37166.8
20220126,36811.8
20220125,36956.9
20220124,36675.4
20220123,36253.6
20220122,35064.3
20220121,36454.9
20220120,40686.0
20220119,41666.0
20220118,42349.2
20220117,42202.2
20220116,43072.6
20220115,43074.0
20220114,43067.3
20220113,42569.6
20220112,43916.9
20220111,42734.6
20220110,41816.3
20220109,41877.6
20220108,41680.5
20220107,41561.4
20220106,43086.1
20220105,43456.8
20220104,45833.0
20220103,46443.4
20220102,47291.8
20220101,47728.6
20211231,46216.4
20211230,47122.4
20211229,46466.4
20211228,47543.8
20211227,50715.7
20211226,50771.5
20211225,50405.9
20211224,50806.2
20211223,50836.6
20211222,48582.3
20211221,48891.4
20211220,46898.1
20211219,46678.5
20211218,46825.3
20211217,46146.3
20211216,47624.6
20211215,48873.4
20211214,48355.2
20211213,46695.8
20211212,50055.1
20211211,49391.6
20211210,47135.7
20211209,47548.6
20211208,50467.3
20211207,50582.3
20211206,50442.4
20211205,49398.1
20211204,49166.5
20211203,53630.4
20211202,56484.6
20211201,57187.5
20211130,56928.1
20211129,57777.4
20211128,57275.5
20211127,54714.7
20211126,53723.3
20211125,58952.4
20211124,57136.9
20211123,57540.2
20211122,56245.1
20211121,58595.3
20211120,59707.4
20211119,58048.5
20211118,56877.7
20211117,60345.0
20211116,60060.8
20211115,63611.8
20211114,65505.2
20211113,64370.6
20211112,64134.1
20211111,64769.2
20211110,64892.2
20211109,66941.7
20211108,67509.5
20211107,63264.8
20211106,61467.1
20211105,60947.9
20211104,61401.9
20211103,62894.0
20211102,63221.9
20211101,60897.5
20211031,61293.6
20211030,61855.9
20211029,62253.3
20211028,60590.7
20211027,58408.2
20211026,60329.6
20211025,63082.8
20211024,60854.0
20211023,61296.2
20211022,60699.0
20211021,62210.1
20211020,66007.2
20211019,64285.4
20211018,62027.8
20211017,61526.2
20211016,60878.4
20211015,61673.9
20211014,57344.9
20211013,57367.2
20211012,56004.5
20211011,57471.9
20211010,54663.6
20211009,54947.7
20211008,53949.7
20211007,53778.6
20211006,55314.7
20211005,51462.3
20211004,49223.7
20211003,48204.2
20211002,47631.6
20211001,48144.5
20210930,43817.2
20210929,41536.9
20210928,41018.9
20210927,42137.0
20210926,43170.6
20210925,42676.6
20210924,42803.9
20210923,44865.7
20210922,43556.4
20210921,40730.4
20210920,43018.6
20210919,47242.5
20210918,48294.0
20210917,47300.3
20210916,47738.6
20210915,48124.3
20210914,47108.8
20210913,44938.3
20210912,46025.5
20210911,45170.5
20210910,44850.3
20210909,46393.1
20210908,46048.1
20210907,46861.7
20210906,52667.2
20210905,51768.0
20210904,49902.6
20210903,50011.0
20210902,49248.9
20210901,48815.3
20210831,47095.5
20210830,46981.0
20210829,48763.2
20210828,48890.0
20210827,49054.1
20210826,46829.5
20210825,48983.2
20210824,47662.5
20210823,49478.2
20210822,49237.4
20210821,48821.3
20210820,49319.4
20210819,46765.7
20210818,44708.3
20210817,44684.3
20210816,45887.0
20210815,46980.4
20210814,47071.4
20210813,47807.7
20210812,44415.2
20210811,45520.8
20210810,45581.3
20210809,46269.0
20210808,43792.8
20210807,44574.4
20210806,42839.6
20210805,40864.4
20210804,39719.8
20210803,38201.7
20210802,39147.8
20210801,39852.1
20210731,41464.0
20210730,42217.2
20210729,40022.4
20210728,40015.5
20210727,39465.5
20210726,37242.9
20210725,35388.4
20210724,34256.7
20210723,33634.7
20210722,32289.7
20210721,32144.0
20210720,29782.5
20210719,30833.3
20210718,31778.1
20210717,31520.2
20210716,31389.1
20210715,31868.5
20210714,32819.3
20210713,32725.2
20210712,33089.4
20210711,34263.5
20210710,33510.0
20210709,33816.4
20210708,32875.7
20210707,33862.8
20210706,34228.5
20210705,33683.7
20210704,35273.7
20210703,34675.2
20210702,33791.4
20210701,33500.1
20210630,35045.4
20210629,35908.9
20210628,34490.7
20210627,34704.4
20210626,32283.7
20210625,31588.1
20210624,34657.9
20210623,33675.0
20210622,32505.1
20210621,31614.1
20210620,35600.5
20210619,35478.5
20210618,35823.0
20210617,38091.2
20210616,38347.2
20210615,40156.7
20210614,40543.0
20210613,39018.7
20210612,35573.4
20210611,37337.6
20210610,36673.0
20210609,37377.0
20210608,33379.8
20210607,33560.0
20210606,35798.1
20210605,35514.6
20210604,36829.3
20210603,39249.9
20210602,37589.0
20210601,36689.4
20210531,37257.6
20210530,35644.4
20210529,34600.2
20210528,35661.2
20210527,38527.7
20210526,39241.4
20210525,38320.9
20210524,38809.9
20210523,34676.9
20210522,37453.8
20210521,37257.0
20210520,40530.5
20210519,36664.7
20210518,42847.8
20210517,43538.7
20210516,46427.4
20210515,46775.4
20210514,49848.5
20210513,49675.4
20210512,49661.9
20210511,56678.3
20210510,55813.2
20210509,58250.2
20210508,58863.1
20210507,57307.3
20210506,56397.6
