Favorites,Retweets,Compound,Negative,Positive,Neutral,Bitcoin_SVI,Volume,Low,No. of Unique Addresses,Funding Rate 0000,High,Time,Funding Rate 0800,Cryptocurrency_SVI,No. of Active Addresses,Open,Transactions,Funding Rate 1600
0.4854587916013572,0.02852028507332768,-0.1345755389066995,-0.6253043291183898,0.2848216760351089,0.04839703727169026,0.7612528688066565,122372685.9,33804.9,642730.0,0.07,36843.6,20210117.0,0.03,13.01,1002014.0,35992.7,271874.0,0.03
-0.008506258599690914,-0.14423510108743565,0.26017890208259353,1.2010353561094878,0.6672861702742052,-1.1688948919161566,-0.024103218493492225,205535768.1,32001.2,379066.0,-0.01,34752.4,20210627.0,-0.02,17.35,518219.0,32283.7,124640.0,-0.05
-0.7642181821384844,-0.6977990201998227,-3.0307333523986353,3.346251864268096,-0.71931560469382,-0.968556878491824,0.3159611003537944,433273705.8,49034.7,729159.0,0.01,51887.0,20211005.0,0.01,33.58,1037679.0,49223.7,312538.0,0.0
1.6184541373855714,1.9180899487605896,0.2274069953324422,0.31754535835051906,0.37777012216815237,-0.4877646176762137,-0.16269546919351854,278508768.6,48034.0,474281.0,0.02,49490.0,20210822.0,0.01,23.54,715639.0,48821.3,190631.0,0.01
-0.09706551594989375,-0.12285280378266533,-1.2210046027436083,-0.6868942450738581,-1.7428045674924713,1.876242912133694,0.006695059439846753,76967745.02,8388.0,687395.0,0.01,9455.9,20200430.0,0.01,5.22,947585.0,8777.5,321972.0,0.1
0.28770343132610243,0.30149340507435035,-0.12898707748679114,-0.15841303074629168,-0.19690977993200864,0.2518355199513999,1.577407234040145,165487483.1,51833.8,782612.0,0.02,54867.6,20210309.0,0.07,24.99,1088598.0,52376.9,299682.0,0.04
-0.6184663609216076,-0.6122698309807414,0.6038840211517076,-0.6868942450738581,0.4546864408693384,-0.07371375186313905,-0.6105537608074925,34302557.94,13038.6,600338.0,0.01,13785.8,20201027.0,0.01,4.98,827512.0,13055.1,251938.0,0.01
-0.6525252057420462,-0.6700812273973425,-0.6913471153632336,0.682984692064702,0.10850635051097121,-0.424305275355722,0.6406262802344117,38567436.63,18322.3,663959.0,0.04,18964.9,20201121.0,0.01,8.67,1007240.0,18659.4,311189.0,0.01
0.05742759842292899,-0.11334956053610075,0.5144650646768706,-0.4913076302475323,0.28697186293174465,-0.018594298434222726,0.20688386600655148,119228330.2,56432.6,618857.0,0.1,58481.2,20210404.0,0.05,27.88,1032167.0,57052.5,246007.0,0.05
0.5784627321757491,0.29605543810548285,0.6574885192664258,0.15790306449596805,0.649252473135569,-0.65126845809503,5.176955967499162,497271871.0,45800.0,806882.0,0.04,51360.8,20210513.0,0.01,62.84,1187747.0,49627.6,276472.0,0.01
1.6184541373855714,1.9180899487605896,0.2274069953324422,0.31754535835051906,0.37777012216815237,-0.4877646176762137,-0.3577512294380002,247649040.1,46833.1,591561.0,0.01,48869.4,20210830.0,0.01,24.2,910173.0,48763.2,250955.0,0.01
0.28770343132610243,0.30149340507435035,-0.12898707748679114,-0.15841303074629168,-0.19690977993200864,0.2518355199513999,0.4070726725732562,409052587.5,53240.3,822884.0,0.02,56918.9,20210316.0,0.02,20.47,1161912.0,55607.1,319493.0,0.04
3.6406422704107353,2.3931308457453078,0.06660907220999956,-0.6868942450738581,0.838494801918833,-0.41428837468450497,0.7509867761622103,108315018.9,29847.5,767142.0,0.01,33761.2,20210128.0,0.01,25.09,1097896.0,30353.9,325146.0,0.01
-0.6525252057420462,-0.6700812273973425,-0.6913471153632336,0.682984692064702,0.10850635051097121,-0.424305275355722,-0.8466738916297596,18125019.56,15077.0,684892.0,0.01,15458.1,20201110.0,0.01,6.2,1026623.0,15326.8,303270.0,0.01
0.30013324013434567,0.246258527296335,0.10712343704771658,-0.006204259953118333,0.06599901375068806,-0.055945972495005845,0.16068644910654278,489318419.3,47726.0,588178.0,0.0,49691.2,20211205.0,0.01,32.84,978899.0,49166.5,215213.0,0.01
-0.47765164115979436,-0.5810448888848863,-0.6189946321167086,0.942258370522399,-0.08501047018625277,-0.3770827436199862,-0.11649805229350985,24652286.65,18715.0,611911.0,0.0,19411.0,20201213.0,0.01,8.05,938739.0,18809.8,276160.0,0.01
1.5375443788461545,1.2646207102157638,0.7185372708869581,0.07205246121610567,0.2697703677586577,-0.2721437842072402,2.0791625120374624,487298143.9,61000.0,854552.0,0.12,64840.0,20210414.0,0.09,50.8,1149773.0,63578.7,297494.0,0.11
-0.7247750346442265,-0.7049264526347461,-1.57876262503794,0.7872901948925113,-0.8698286874583276,0.39374161279363523,-0.11649805229350985,280893046.0,48650.0,567489.0,0.01,50774.9,20211212.0,0.01,29.74,725043.0,49392.0,214808.0,0.01
-0.6310237711442693,-0.6163426495149833,-1.210133236067758,0.0879466330755814,-0.8784294350448709,0.7352702261551161,-0.9891159270714532,22091623.65,9223.9,589910.0,0.01,9582.8,20200516.0,0.01,3.82,880534.0,9316.2,296555.0,0.01
-0.6156489932434464,-0.4744728039055549,-0.1968125049356064,-0.6868942450738581,-0.7607067024540597,1.0047725537378482,-1.1084592540631426,22009723.03,8944.1,674745.0,0.01,9260.4,20200702.0,0.01,3.64,951042.0,9231.4,339469.0,0.01
0.7068233948854575,0.8274715208737929,-1.2210046027436083,-0.6868942450738581,-1.7428045674924713,1.876242912133694,0.35830873251213574,174821106.7,56501.0,763702.0,0.03,59254.1,20210405.0,0.04,30.76,1229289.0,58201.4,289046.0,0.04
