Time,Open,Close,High,Low,Amount,Volume
2022-03-03,43896.8,42456.3,44088,41832,7550.686088,324545814.8
2022-03-02,44428.2,43896.9,45367.5,43332.8,7712.371474,340460526.5
2022-03-01,43174.8,44428.2,44966,42796.9,10184.79479,444858241.2
2022-02-28,37706.7,43179.8,44210.4,37446.5,14045.2906,564121052.5
2022-02-27,39117.3,37706.7,39864,36977.4,10079.6383,388368905.7
2022-02-26,39219.6,39119.1,40300,38560.3,7813.061179,306410979.9
2022-02-25,38320.9,39219.6,39695,38015,9925.502518,386047125.7
2022-02-24,37248.2,38320.9,39823.3,34325,18871.39061,680985023.6
2022-02-23,38229.6,37248.1,39285.2,37046.8,8656.548723,331098529.4
2022-02-22,37020.5,38229.6,38448.4,36333.1,8650.227539,324319840.5
2022-02-21,38380,37025.7,39500,36800,10163.08487,389078244.9
2022-02-20,40086.7,38380,40125.2,37979.3,6486.475395,250940407.5
2022-02-19,39976.6,40086.7,40454,39632,3749.570447,150092458.9
2022-02-18,40507.2,39976.5,40959.6,39450,8221.005422,330966909.4
2022-02-17,43866.6,40507.2,44169.3,40058.8,10798.17543,454761079.5
2022-02-16,44563.6,43868.5,44565.3,43320,6456.560048,283744445.6
2022-02-15,42535,44563.5,44800.8,42425.3,7673.571592,336712539.1
2022-02-14,42056.3,42534.3,42861.8,41525.7,9059.22202,382673634.4
2022-02-13,42222.4,42056.4,42767.7,41869.1,4449.741379,188255780.4
2022-02-12,42370.1,42222.4,43033,41725.3,5674.935235,240179110.5
2022-02-11,43495.4,42370.1,43964.9,41952,10350.61905,445568913.5
2022-02-10,44374.8,43495.4,45831.9,43165.3,11873.77766,527011527.8
2022-02-09,44045.7,44374.8,44801.8,43122,8310.963798,365238493.8
2022-02-08,43843.4,44042.7,45500,42668.3,12815.20181,561717500.4
2022-02-07,42394.8,43845.7,44500,41649.9,12161.14314,525826343.9
2022-02-06,41386.8,42394.8,42655,41117.9,5524.538254,230419046.4
2022-02-05,41579.6,41386.8,41920,40800,6050.702034,251061235.2
2022-02-04,37320.9,41579.7,41756.4,37032,11180.30349,436101931.9
2022-02-03,36889.7,37320.9,37381.9,36249.1,7376.601938,271055514.6
2022-02-02,38693.3,36883.9,38860,36576,7983.608385,301579632.1
2022-02-01,38467.4,38693.4,39286,38021.2,8866.025687,342129854.9
2022-01-31,37882.5,38467.3,38739,36626.7,8856.551803,333707039.6
2022-01-30,38179.7,37884.9,38366,37350,5411.501628,205231326
2022-01-29,37715.6,38179.6,38723.1,37305,7151.982279,271001519.9
2022-01-28,37166.8,37715.6,38006,36162,11803.67246,436964893.7
2022-01-27,36816.3,37166.8,37259,35515.8,11600.5332,421659694.2
2022-01-26,36958.1,36811.8,38936,36217.9,14295.52514,537828487.9
2022-01-25,36669.3,36956.9,37549,35703.8,10359.63052,379085399.9
2022-01-24,36253.7,36675.4,37557.3,32918.7,17910.47546,623129340.2
2022-01-23,35064.9,36253.6,36663,34600.8,10220.24396,362422689.8
2022-01-22,36454.8,35064.3,36828,34011.4,18348.26764,650337858.6
2022-01-21,40680.9,36454.9,41103.4,35420,20940.51486,805123488.1
2022-01-20,41665.9,40686,43498.3,40563.2,10269.4559,432951676.3
2022-01-19,42349.3,41666,42559.4,41140,9762.608916,408738707.9
