Time,Transactions
2022-03-03,268244
2022-03-02,288657
2022-03-01,280634
2022-02-28,270918
2022-02-27,211164
2022-02-26,220423
2022-02-25,260340
2022-02-24,254139
2022-02-23,251275
2022-02-22,260265
2022-02-21,237402
2022-02-20,200535
2022-02-19,220673
2022-02-18,261055
2022-02-17,255573
2022-02-16,266788
2022-02-15,273623
2022-02-14,247592
2022-02-13,208977
2022-02-12,228189
2022-02-11,258595
2022-02-10,260813
2022-02-09,265804
2022-02-08,276850
2022-02-07,262034
2022-02-06,219196
2022-02-05,258646
2022-02-04,247946
2022-02-03,265344
2022-02-02,278985
2022-02-01,272984
2022-01-31,263410
2022-01-30,207173
2022-01-29,231038
2022-01-28,264609
2022-01-27,255925
2022-01-26,261070
2022-01-25,265128
2022-01-24,270712
2022-01-23,203986
2022-01-22,250294
2022-01-21,272348
2022-01-20,271265
2022-01-19,270334
2022-01-18,265057
2022-01-17,258141
2022-01-16,216151
2022-01-15,234373
2022-01-14,270882
2022-01-13,274515
2022-01-12,271933
2022-01-11,277698
2022-01-10,266743
2022-01-09,210143
2022-01-08,223920
2022-01-07,255381
2022-01-06,264899
2022-01-05,272155
2022-01-04,274544
2022-01-03,234793
2022-01-02,196865
2022-01-01,186834
2021-12-31,269540
2021-12-30,245021
2021-12-29,276083
2021-12-28,265422
2021-12-27,249548
2021-12-26,198574
2021-12-25,207803
2021-12-24,260565
2021-12-23,291799
2021-12-22,288495
2021-12-21,304713
2021-12-20,266947
2021-12-19,206719
2021-12-18,239170
2021-12-17,263495
2021-12-16,256206
2021-12-15,281103
2021-12-14,278275
2021-12-13,278211
2021-12-12,214808
2021-12-11,225733
2021-12-10,271375
2021-12-09,282775
2021-12-08,266110
2021-12-07,288343
2021-12-06,284467
2021-12-05,215213
2021-12-04,253674
2021-12-03,290139
2021-12-02,313261
2021-12-01,288422
2021-11-30,293876
2021-11-29,301297
2021-11-28,213768
2021-11-27,240759
2021-11-26,292645
2021-11-25,287496
2021-11-24,298909
2021-11-23,283401
2021-11-22,279165
2021-11-21,222949
2021-11-20,249652
2021-11-19,284719
2021-11-18,293867
2021-11-17,290390
2021-11-16,301103
2021-11-15,288435
2021-11-14,224016
2021-11-13,238634
2021-11-12,282049
2021-11-11,293665
2021-11-10,301025
2021-11-09,335411
2021-11-08,285806
2021-11-07,226128
2021-11-06,236233
2021-11-05,285946
2021-11-04,289141
2021-11-03,288746
2021-11-02,297402
2021-11-01,293282
2021-10-31,217435
2021-10-30,252061
2021-10-29,305733
2021-10-28,295558
2021-10-27,292114
2021-10-26,294029
2021-10-25,284680
2021-10-24,211220
2021-10-23,223941
2021-10-22,287550
2021-10-21,320743
2021-10-20,291813
2021-10-19,312018
2021-10-18,285368
2021-10-17,215883
2021-10-16,270052
2021-10-15,297746
2021-10-14,282383
2021-10-13,288916
