Time,Open,Close,High,Low,Volume
2022-03-03,43896.8,42456.3,44088,41832,324545814.8
2022-03-02,44428.2,43896.9,45367.5,43332.8,340460526.5
2022-03-01,43174.8,44428.2,44966,42796.9,444858241.2
2022-02-28,37706.7,43179.8,44210.4,37446.5,564121052.5
2022-02-27,39117.3,37706.7,39864,36977.4,388368905.7
2022-02-26,39219.6,39119.1,40300,38560.3,306410979.9
2022-02-25,38320.9,39219.6,39695,38015,386047125.7
2022-02-24,37248.2,38320.9,39823.3,34325,680985023.6
2022-02-23,38229.6,37248.1,39285.2,37046.8,331098529.4
2022-02-22,37020.5,38229.6,38448.4,36333.1,324319840.5
2022-02-21,38380,37025.7,39500,36800,389078244.9
2022-02-20,40086.7,38380,40125.2,37979.3,250940407.5
2022-02-19,39976.6,40086.7,40454,39632,150092458.9
2022-02-18,40507.2,39976.5,40959.6,39450,330966909.4
2022-02-17,43866.6,40507.2,44169.3,40058.8,454761079.5
2022-02-16,44563.6,43868.5,44565.3,43320,283744445.6
2022-02-15,42535,44563.5,44800.8,42425.3,336712539.1
2022-02-14,42056.3,42534.3,42861.8,41525.7,382673634.4
2022-02-13,42222.4,42056.4,42767.7,41869.1,188255780.4
2022-02-12,42370.1,42222.4,43033,41725.3,240179110.5
2022-02-11,43495.4,42370.1,43964.9,41952,445568913.5
2022-02-10,44374.8,43495.4,45831.9,43165.3,527011527.8
2022-02-09,44045.7,44374.8,44801.8,43122,365238493.8
2022-02-08,43843.4,44042.7,45500,42668.3,561717500.4
2022-02-07,42394.8,43845.7,44500,41649.9,525826343.9
2022-02-06,41386.8,42394.8,42655,41117.9,230419046.4
2022-02-05,41579.6,41386.8,41920,40800,251061235.2
2022-02-04,37320.9,41579.7,41756.4,37032,436101931.9
2022-02-03,36889.7,37320.9,37381.9,36249.1,271055514.6
2022-02-02,38693.3,36883.9,38860,36576,301579632.1
2022-02-01,38467.4,38693.4,39286,38021.2,342129854.9
2022-01-31,37882.5,38467.3,38739,36626.7,333707039.6
2022-01-30,38179.7,37884.9,38366,37350,205231326
2022-01-29,37715.6,38179.6,38723.1,37305,271001519.9
2022-01-28,37166.8,37715.6,38006,36162,436964893.7
2022-01-27,36816.3,37166.8,37259,35515.8,421659694.2
2022-01-26,36958.1,36811.8,38936,36217.9,537828487.9
2022-01-25,36669.3,36956.9,37549,35703.8,379085399.9
2022-01-24,36253.7,36675.4,37557.3,32918.7,623129340.2
2022-01-23,35064.9,36253.6,36663,34600.8,362422689.8
2022-01-22,36454.8,35064.3,36828,34011.4,650337858.6
2022-01-21,40680.9,36454.9,41103.4,35420,805123488.1
2022-01-20,41665.9,40686,43498.3,40563.2,432951676.3
2022-01-19,42349.3,41666,42559.4,41140,408738707.9
2022-01-18,42202.1,42349.2,42675.2,41279,357390611
2022-01-17,43072.6,42202.2,43176.9,41500,253486952.7
2022-01-16,43074.1,43072.6,43477,42600,198746399.5
2022-01-15,43067.3,43074,43800.9,42564.1,198239498.9
2022-01-14,42569.6,43067.3,43459.9,41713,315076305.5
2022-01-13,43917,42569.6,44421,42311,381607893.5
2022-01-12,42734.5,43916.9,44330.1,42456.1,379366703.3
2022-01-11,41816.4,42734.6,43101.5,41257.1,404571339.2
2022-01-10,41877.6,41816.3,42262.6,39651,436052177
2022-01-09,41680.7,41877.6,42791.3,41214.9,320295181.7
2022-01-08,41561.5,41680.5,42319.7,40501,405771071.4
2022-01-07,43086.1,41561.4,43149.3,40600,564380542.4
2022-01-06,43456.2,43086.1,43817.3,42420,422214413.2
2022-01-05,45833,43456.8,47052.4,42500,642545805.9
2022-01-04,46443.4,45833,47529,45555,391342323.4
2022-01-03,47291.7,46443.4,47577,45700,326687252.8
2022-01-02,47728.6,47291.8,47990,46656.1,230185198.6
2022-01-01,46216.4,47728.6,47936.7,46210.4,244429577.2
2021-12-31,47122.5,46216.4,48563.6,45668.7,421424853.8
2021-12-30,46466.4,47122.4,47906.9,45932.2,355274219.9
2021-12-29,47543.8,46466.4,48139.5,46039.5,385992871.4
2021-12-28,50715.6,47543.8,50715.6,47289.6,549598324.4
2021-12-27,50771.5,50715.7,52072.2,50446.5,338802264.2
2021-12-26,50405.9,50771.5,51279.7,49449.8,296678249
2021-12-25,50811,50405.9,51139.9,50180,237352986.8
2021-12-24,50836.6,50806.2,51821,50401.5,362202620.3
2021-12-23,48582.2,50836.6,51369.3,48011.5,457414041.4
2021-12-22,48891.5,48582.3,49564,48421.1,389366494.2
2021-12-21,46898.1,48891.4,49322,46655.6,357318509
2021-12-20,46678.5,46898.1,47525.7,45562.7,452867076.1
2021-12-19,46825.3,46678.5,48280,46410,367966986.6
2021-12-18,46146.4,46825.3,47350,45500.1,256921386.3
2021-12-17,47624.7,46146.3,48001,45425.6,430522904.6
2021-12-16,48873.4,47624.6,49435.1,47512,390317185.2
2021-12-15,48350.8,48873.4,49540,46539.9,467022214.6
2021-12-14,46695.8,48355.2,48665.4,46285,374822293.2
2021-12-13,50055.1,46695.8,50210.1,45714.5,484063976.8
2021-12-12,49392,50055.1,50774.9,48650,280893046
2021-12-11,47131.6,49391.6,49485,46714.6,332513353.3
2021-12-10,47545.1,47135.7,50100,46852.7,525084431.2
2021-12-09,50472.2,47548.6,50800,47317,487901273.5
2021-12-08,50582.3,50467.3,51203.6,48600,451349974.8
2021-12-07,50442.4,50582.3,51930.7,50026.6,450594771.9
2021-12-06,49398.5,50442.4,50900,47120.3,626157750.5
2021-12-05,49166.5,49398.1,49691.2,47726,489318419.3
2021-12-04,53611.6,49166.5,53855,40589,813911345.4
2021-12-03,56484.7,53630.4,57600,51367,434955898.6
2021-12-02,57187.5,56484.6,57372.8,55752.5,337692238.2
2021-12-01,56937.8,57187.5,59038.7,56450,417797646.8
2021-11-30,57777.4,56928.1,59200,55877.1,468364796.4
2021-11-29,57275.5,57777.4,58882.3,56664.5,408336675
2021-11-28,54713.6,57275.5,57443.9,53235.6,371130261
2021-11-27,53720.3,54714.7,55288,53600,286730318.6
2021-11-26,58956.3,53723.3,59154.9,53500,646552307.4
2021-11-25,57136.9,58952.4,59400,57000,412301934.9
2021-11-24,57540.2,57136.9,57722.3,55868,457719367.2
2021-11-23,56245,57540.2,57858.9,55320,467100249.3
2021-11-22,58595.6,56245.1,59497.9,55630,591121412
2021-11-21,59707.4,58595.3,60039,58500.1,308717788.9
2021-11-20,58049.2,59707.4,59850,57355,310644998.4
2021-11-19,56877.8,58048.5,58331,55600,417030063.7
2021-11-18,60345,56877.7,60951.2,56473.3,622911867.5
2021-11-17,60060.8,60345,60822.7,58358.6,527388313.7
2021-11-16,63610.4,60060.8,63613.5,58557.5,778068482.2
2021-11-15,65505.1,63611.8,66361,63368,383210071.3
2021-11-14,64370.6,65505.2,65511.1,63569.8,267874693.4
2021-11-13,64134.1,64370.6,64963.5,63369.3,200216587.9
2021-11-12,64770.9,64134.1,65472.7,62263.9,478645588
2021-11-11,64892.2,64769.2,65589.9,64109.1,355460152.1
2021-11-10,66943,64892.2,69028,62540,608460351.2
2021-11-09,67509.4,66941.7,68500.1,66171.6,444215755
2021-11-08,63267.9,67509.5,67795.7,63267.9,583849967.4
2021-11-07,61467.1,63264.8,63277.2,61326.7,301402150.1
2021-11-06,60947.7,61467.1,61555,60050,260493501.9
2021-11-05,61401.9,60947.9,62604,60730,317153935.3
2021-11-04,62893.9,61401.9,63086.9,60700,386571709
2021-11-03,63221.9,62894,63506.8,60400,450449274.4
2021-11-02,60898,63221.9,64281.4,60635,495641463.2
2021-11-01,61293.9,60897.5,62440.6,59381.2,489592233.2
2021-10-31,61855.9,61293.6,62397,59964,408215639.5
2021-10-30,62253.2,61855.9,62368,60644,298289856.7
2021-10-29,60590.7,62253.3,62961.9,60193,472894245.6
2021-10-28,58408.2,60590.7,62509,57820,692607986.7
2021-10-27,60330.2,58408.2,61488.2,57963,649228950.5
2021-10-26,63082.9,60329.6,63287.1,59850,439034713.6
2021-10-25,60853.9,63082.8,63710.7,60658.1,429536055
2021-10-24,61296.2,60854,61487.6,59517.2,384294281.8
2021-10-23,60698.6,61296.2,61748,59611,349728982.8
2021-10-22,62210,60699,63734.9,60011,491055331.9
2021-10-21,66007.2,62210.1,66663.4,62015.3,863866244.7
2021-10-20,64285.4,66007.2,66985.9,63500,644294797.4
2021-10-19,62027.7,64285.4,64472.4,61324.6,702243691.5
2021-10-18,61526.2,62027.8,62694,59868.3,624039708.7
2021-10-17,60878.5,61526.2,61701,58977,385518488.3
2021-10-16,61673.4,60878.4,62358,60154.4,402479983.2
2021-10-15,57344.8,61673.9,62947.4,56861.8,860666768.9
2021-10-14,57367.2,57344.9,58529.9,56795,471000802.4
2021-10-13,56001.1,57367.2,57764.4,54222.5,470511860.3
2021-10-12,57471.9,56004.5,57670,53889,529269410.6
2021-10-11,54663.6,57471.9,57840,54414.4,482625180.7
2021-10-10,54948.5,54663.6,56505.5,54095,415682780.3
2021-10-09,53949.7,54947.7,55500,53650,303944142.6
2021-10-08,53778.6,53949.7,56138.6,53613,417615286.1
2021-10-07,55314.7,53778.6,55329.4,53376.8,583950349
2021-10-06,51462.3,55314.7,55770.5,50386.1,609030484.6
2021-10-05,49223.7,51462.3,51887,49034.7,433273705.8
2021-10-04,48204.2,49223.7,49500,46909,509138223.2
2021-10-03,47631.6,48204.2,49219.4,47099.9,308151904.9
2021-10-02,48148.8,47631.6,48333,47436.1,211051611.6
2021-10-01,43819.1,48144.5,48466.6,43293.6,363416598.9
2021-09-30,41529.8,43817.2,44123,41413,238839823.9
2021-09-29,41018.9,41536.9,42593,40752.1,184926857.3
2021-09-28,42137.1,41018.9,42762.2,40875,206345988.1
2021-09-27,43170.6,42137,44357.1,42090.6,202917520.4
2021-09-26,42676.5,43170.6,43930,40751,227257670.8
2021-09-25,42803.8,42676.6,42969.9,41631.2,185182671.4
2021-09-24,44865.6,42803.9,45144.1,40683,410919062.9
2021-09-23,43550.7,44865.7,44978.2,43064.1,236772551.6
2021-09-22,40730.3,43556.4,44000,40568,269585374
2021-09-21,43010.4,40730.4,43648,39571,421193931.2
2021-09-20,47242.4,43018.6,47353.6,42470.5,481199344.8
2021-09-19,48294,47242.5,48366.5,46816.2,187339847.2
2021-09-18,47300.3,48294,48800,47030,172058748.1
2021-09-17,47738.6,47300.3,48139.1,46750.6,204334748.2
2021-09-16,48124.3,47738.6,48520,47012.4,215858424.1
2021-09-15,47108.1,48124.3,48444.2,46693,218201912.8
2021-09-14,44938.3,47108.8,47245.4,44645,222264878.2
2021-09-13,46025.5,44938.3,46852.2,43375,329259917
2021-09-12,45170.5,46025.5,46443,44738.1,188488416.8
2021-09-11,44850.4,45170.5,45984,44728,184897662.1
2021-09-10,46393,44850.3,47032,44119.1,285236810.2
2021-09-09,46047.6,46393.1,47392,45488.6,267985685.5
2021-09-08,46864,46048.1,47338.5,44408,335884186.5
2021-09-07,52667.2,46861.7,52920,42478.9,611376305.1
2021-09-06,51768,52667.2,52827.3,50969.3,237997715.3
2021-09-05,49902.8,51768,51885.2,49460.9,197799196.4
2021-09-04,50010.9,49902.6,50548.5,49368,164611825.1
2021-09-03,49248.8,50011,51027,48322.5,284012587.5
2021-09-02,48815.3,49248.9,50380.8,48595,252058688.2
2021-09-01,47095.5,48815.3,49125,46503.8,224376539.3
2021-08-31,46981,47095.5,48248.9,46688.9,210838523.3
2021-08-30,48763.2,46981,48869.4,46833.1,247649040.1
2021-08-29,48892,48763.2,49634.8,47750,178385922.9
2021-08-28,49053.7,48890,49286,48350,159023327.2
2021-08-27,46829.4,49054.1,49164,46344.1,215034437.6
2021-08-26,48983.3,46829.5,49342.3,46275,256433924.3
2021-08-25,47662.5,48983.2,49250,47130,238867868
2021-08-24,49481.7,47662.5,49897.1,47567,281234168.4
2021-08-23,49232.9,49478.2,50531.2,49002.8,352804744.5
2021-08-22,48821.3,49237.4,49490,48034,278508768.6
2021-08-21,49319.9,48821.3,49776.4,48195.9,325201390.7
2021-08-20,46765.6,49319.4,49400.4,46632.5,379218742.1
2021-08-19,44708.3,46765.7,47049.2,43925.6,329313825.6
2021-08-18,44684.4,44708.3,46015.3,44206.8,423494019.1
2021-08-17,45887,44684.3,47172.9,44390.7,465759379.1
2021-08-16,46980.5,45887,48045,45627.7,382127783.3
2021-08-15,47071.4,46980.4,47377.6,45486.7,349642973.4
2021-08-14,47807.7,47071.4,48151.3,45969.2,305557435.9
2021-08-13,44411.3,47807.7,47891,44222.3,378273659.2
2021-08-12,45520.4,44415.2,46209,43750,404820768
2021-08-11,45581.5,45520.8,46740,45337.8,350803776.9
