Favorites,Retweets,Compound,Bitcoin_SVI,Volume,Funding Rate 1600,No. of Unique Addresses,Time,Transactions,Funding Rate 0800,No. of Active Addresses,Funding Rate 0000,Close,Cryptocurrency_SVI
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.4954940236863135,12219240.24,0.01,625096.0,20200304.0,358745.0,0.01,857423.0,0.01,8750.7,4.34
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.4335271144153954,15218448.72,0.02,603996.0,20200305.0,349529.0,0.01,793221.0,0.02,9056.9,3.76
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.4645105690508545,8833554.543,0.02,601698.0,20200306.0,338383.0,0.02,804945.0,0.02,9134.3,3.33
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.649411830585046,7525135.261,0.03,526880.0,20200307.0,313312.0,0.04,682432.0,0.04,8889.9,3.04
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.5574609329572319,14397155.01,0.05,501571.0,20200308.0,302694.0,0.05,654911.0,0.03,8036.5,4.34
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,0.24511048872901584,20704818.48,0.01,606002.0,20200309.0,348211.0,0.01,809850.0,0.04,7931.3,5.16
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.12569150061793052,13650591.37,0.01,601526.0,20200310.0,329698.0,0.01,807778.0,0.01,7895.3,4.44
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.310592762152122,11450174.16,0.01,528053.0,20200311.0,287492.0,0.01,728889.0,0.01,7933.2,4.23
-0.7023837672854308,-0.613009075349938,-0.8748875771900861,0.9227486255948635,55248355.79,0.01,653156.0,20200312.0,349978.0,0.01,909601.0,0.02,4802.9,6.2
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,1.7253200472811114,64233445.37,-0.3,656893.5,20200313.0,276798.0,-0.02,786409.0,-0.02,5576.3,6.71
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,0.6458964664328578,20500724.76,-0.01,517382.0,20200314.0,279828.0,-0.08,772769.0,-0.07,5175.8,5.06
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.42353245162976344,16138877.74,-0.05,413935.0,20200315.0,223230.0,-0.05,629326.0,-0.05,5359.7,3.72
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.13468669712499928,26797090.85,-0.04,532450.0,20200316.0,270399.0,-0.03,725120.0,-0.05,5027.3,3.8
-0.6408640157624456,-0.28288675357436305,0.6835341107435716,-0.3385778179518915,18269210.08,0.0,540902.0,20200317.0,278326.0,-0.02,765477.0,-0.09,5316.7,3.39
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.40654152489418904,17940239.5,-0.04,476482.0,20200318.0,231254.0,-0.01,633373.0,-0.01,5394.8,3.31
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.3385778179518915,26041132.77,-0.02,525607.0,20200319.0,265689.0,-0.02,709786.0,-0.03,6162.2,3.88
-0.6230034427396433,-0.2863986931677202,1.0425422482780269,-0.355568744687466,37752569.82,0.0,564748.0,20200320.0,284594.0,-0.02,734614.0,-0.03,6204.4,3.56
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.4914961585720608,25145709.57,0.0,469859.0,20200321.0,245896.0,0.01,637554.0,0.01,6191.1,3.39
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.6753979538276892,22804757.3,0.01,409829.0,20200322.0,209154.0,0.0,579901.0,-0.01,5815.8,3.72
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.5974395840997597,25242917.54,-0.02,509038.0,20200323.0,259816.0,-0.02,667486.0,0.0,6469.0,3.62
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.5974395840997597,24105486.68,0.01,528586.0,20200324.0,278131.0,0.01,736233.0,0.01,6746.4,4.09
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.6913894142847004,20429947.63,0.01,456328.0,20200325.0,218176.0,0.01,587460.0,0.01,6673.0,3.72
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.7373648630986074,14921480.05,0.01,539881.0,20200326.0,292828.0,0.0,889704.0,0.01,6733.2,3.62
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.7683483177340665,15953502.97,0.01,529197.0,20200327.0,276546.0,0.01,807651.0,0.0,6358.0,3.53
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.7533563235556185,19448682.98,-0.04,469113.0,20200328.0,240627.0,-0.01,627230.0,0.0,6242.4,3.9
-0.6505219552488497,-0.38473300178172126,0.3824088360255007,-0.7833403119125145,12049077.53,-0.03,428425.0,20200329.0,232820.0,-0.02,591287.0,-0.02,5881.2,3.72
-0.7037067726945273,-0.6200329545366523,-0.8600088976933374,-0.7673488514555034,17904828.4,-0.03,535787.0,20200330.0,276828.0,-0.06,770915.0,-0.03,6394.9,3.63
-0.5826517777622013,-0.12133753227993274,1.9208642959893276,-0.8143237665479734,13159710.94,-0.02,546702.0,20200331.0,290227.0,-0.01,816889.0,-0.01,6409.7,3.54
-0.5925743183304247,-0.1986002033337907,1.2825209498384913,-0.8303152270049846,19440128.32,-0.05,544088.0,20200401.0,281855.0,-0.01,824108.0,-0.02,6642.7,3.72
-0.4316637854490679,-0.28200876867602376,-0.23162466765726047,-0.7213734026415962,27541639.13,0.0,569905.0,20200402.0,299176.0,-0.02,798186.0,-0.04,6794.6,3.72
-0.4316637854490679,-0.28200876867602376,-0.23162466765726047,-0.7833403119125145,26022868.82,0.0,548300.0,20200403.0,278763.0,0.01,750332.0,0.01,6736.2,3.63
-0.4316637854490679,-0.28200876867602376,-0.23162466765726047,-0.8453072211834328,16708372.22,0.01,479599.0,20200404.0,253274.0,0.01,657862.0,0.01,6856.4,3.9
-0.4316637854490679,-0.28200876867602376,-0.23162466765726047,-0.7473595258842394,10722032.12,0.0,452282.0,20200405.0,240259.0,0.0,596364.0,-0.01,6772.2,4.34
-0.4316637854490679,-0.28200876867602376,-0.23162466765726047,-0.5504646690072894,19128356.95,0.0,557192.0,20200406.0,280470.0,0.0,780832.0,0.0,7329.5,5.1
